Nombre,Sede
David Torres,Cardales Cayala
Susana Herrera,Cardales Cayala
Manuel Vargas,Los Proceres
Patricia Ortega,Los Proceres
Alberto Flores,Miraflores
Rosa Ramírez,Miraflores
Raúl Navarro,Oakland Mall
Beatriz Medina,Oakland Mall
Sergio Mendoza,Pradera Concepcion
Paula Castro,Pradera Concepcion
Enrique Molina,Centro Comercial Metroplaza Mundo Maya
Silvia Ramírez,Centro Comercial Metroplaza Mundo Maya
Andrés Herrera,Centro Comericla Interplaza Xela
Natalia Guzmán,Centro Comericla Interplaza Xela
